,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,ME_5,ME_10,ME_15,ME_20,ME_25,ME_30,RANK_5,RANK_10,RANK_15,RANK_20,RANK_25,RANK_30,VAR_5,VAR_10,VAR_15,VAR_20,VAR_25,VAR_30,SMA_5,SMA_10,SMA_15,SMA_20,SMA_25,SMA_30,SD_5,SD_10,SD_15,SD_20,SD_25,SD_30,Ske_5,Ske_10,Ske_15,Ske_20,Ske_25,Ske_30,Kur_5,Kur_10,Kur_15,Kur_20,Kur_25,Kur_30
29,67994.0,68338.0,67908.0,67994.0,672646,2023-03-31,430.0,0.0,67994.0,67736.5,67908.0,67908.0,67994.0,68037.0,3.0,8.0,11.0,13.0,14.0,14.0,3697.9999999944775,236305.34444448943,330060.88571425277,402355.31315787975,528923.1599999735,1325133.4712643572,67994.0,67590.3,67770.8,67873.95,68045.92,68441.33333333333,60.81118318199768,486.1124812679566,574.5092564217332,634.3148375671814,727.2710361343792,1151.1444180746207,-1.9257624876564065e-10,-0.7271008170366757,0.4893238152818258,0.5503344437613844,0.30023769697988506,0.9204802319772949,1.9999999002208462,-0.8582262860132498,2.1921369265812087,0.9096536463915078,-0.6383450923496379,0.3719736817307841
30,68252.0,69542.0,67994.0,69542.0,1172390,2023-04-03,1548.0,-1290.0,67994.0,67951.0,67908.0,67951.0,67994.0,68037.0,5.0,10.0,15.0,20.0,25.0,27.0,482958.7999999922,483029.77777782106,539868.1238094989,512181.3684210348,581716.8399999742,1106155.6793103318,68303.6,67874.0,67885.46666666666,67990.0,68066.56,68386.9,694.9523724687845,695.0034372417313,734.757186973696,715.6684766154192,762.7036383812354,1051.739359019302,2.193379126327904,1.4887645036583455,0.8434698460684178,0.6225374941162827,0.4177621475396049,0.767029001122298,4.8478573388449275,3.647615282082032,1.2418389199068798,0.571765550865426,-0.532091876011416,0.2633194136862324
31,69542.0,69628.0,68768.0,69198.0,585746,2023-04-04,860.0,344.0,67994.0,67994.0,67994.0,67994.0,67994.0,68037.0,4.0,9.0,13.5,17.5,22.0,23.5,607951.1999999924,569836.2333333766,647598.2571428405,579964.3052631388,581716.8399999742,856296.9655172256,68527.2,68080.3,67988.6,68063.1,68066.56,68321.0,779.712254617043,754.8749786112775,804.7348986733709,761.5538754829752,762.7036383812354,925.3631533172398,0.7087460811264892,0.9883903569550359,0.5554188136472458,0.4312299038662565,0.4177621475396049,0.3698049265777408,-2.684657325022439,0.6742575089224668,-0.041527775038272735,-0.15709960233262565,-0.532091876011416,-0.7161574194646003
32,69198.0,69284.0,68510.0,69284.0,423371,2023-04-05,774.0,-86.0,69198.0,67994.0,67994.0,67994.0,67994.0,68037.0,4.0,9.0,14.0,18.5,23.5,26.5,560616.7999999939,654450.6222222651,662949.6666666501,652084.357894717,590121.3333333083,749948.7229884891,68802.4,68260.8,67994.33333333333,68110.4,68070.0,68286.63333333333,748.7434807729506,808.9812248886034,814.2172109865095,807.5174040816191,768.1935519993046,865.9957984820071,-0.4748923609988211,0.46546406860831846,0.5736762597756282,0.36602499499457575,0.4298353642346964,0.17860580353181116,-3.1014473583453053,-0.7801437250640662,-0.0650103293055042,-0.6215540114857734,-0.5371146537586616,-1.0266055080937508
33,69370.0,70057.0,69026.0,69026.0,614350,2023-04-06,1031.0,344.0,69198.0,68037.0,67994.0,67994.0,67994.0,68037.0,2.0,7.0,12.0,16.0,20.0,21.5,356487.19999999536,512919.38888892974,734187.9714285597,623540.0526315598,607790.8933333086,669941.9816091778,69008.8,68458.5,68057.4,68097.5,68080.32,68255.13333333333,597.0654905452126,716.1839071697505,856.847694417485,789.6455234037358,779.6094492329532,818.4998360471294,-1.694984241320254,0.4486672426483095,0.3807402784371881,0.3450832535603283,0.4190670929406165,0.04056215380047442,3.295483893188153,-1.738740138927319,-0.7175617602714817,-0.5445492029699236,-0.6429561253390101,-1.1780079179641751
34,68940.0,69370.0,68768.0,69198.0,360755,2023-04-07,602.0,-258.0,69198.0,68553.0,67994.0,67994.0,67994.0,68037.0,2.5,7.5,12.5,17.0,21.0,25.0,35500.7999999945,455347.0666667068,817595.6857142805,682291.6315789281,639850.2433333126,650793.6367815915,69249.6,68621.8,68143.4,68140.5,68149.08,68246.53333333334,188.41655978176254,674.7940920508321,904.2099787738911,826.0094621606511,799.9063966073234,806.7178173200289,0.8463074239193289,0.11443944951286,0.1594982721080741,0.2646502515956871,0.2497334018807898,0.013752336332188633,1.7447916662510845,-2.2674426566008496,-1.194827745953108,-0.9013914355149586,-0.8853648469666452,-1.1783670529729746
35,69628.0,69628.0,68854.0,69026.0,771039,2023-04-10,774.0,602.0,69198.0,69026.0,67994.0,67994.0,67994.0,68037.0,1.5,5.5,10.5,14.5,18.5,21.5,13312.799999994815,417874.0000000393,699799.4095238148,714406.7473684021,630572.5433333168,650793.6367815915,69146.4,68725.0,68298.13333333333,68200.7,68221.28,68246.53333333334,115.38110763896668,646.4317442700655,836.5401422070639,845.2258558328667,794.0859798115798,806.7178173200289,-0.16563466499962093,-0.31297292562073514,0.06910202060684023,0.0795451266818762,0.09122434497453417,0.013752336332188633,-2.407407406661619,-2.027723392592297,-1.4655117165279945,-1.1174601479290567,-0.9336623058060995,-1.1783670529729746
36,68940.0,69198.0,68854.0,69026.0,534886,2023-04-11,344.0,-86.0,69026.0,69026.0,68080.0,68037.0,68080.0,68037.0,2.0,5.0,10.0,14.0,18.0,22.0,14791.999999994721,371772.2666667053,623979.3142857288,729376.1552631399,644968.9433333197,640493.4068965338,69112.0,68819.6,68424.2,68269.45,68272.88,68240.8,121.62236636406448,609.7313069432349,789.9236129435104,854.0352189828824,803.0995849415685,800.3083198971093,0.8838834764768969,-0.7788380840168492,-0.1477932963030785,-0.12346830019231701,-0.06607057619643394,0.009163370946362529,-1.7500000010540049,-1.2046475887597694,-1.4193865197996092,-1.1695643165353697,-1.0081504650721596,-1.1550209824647057
37,69026.0,69198.0,68682.0,69026.0,575815,2023-04-12,516.0,0.0,69026.0,69026.0,69026.0,68037.0,68080.0,68037.0,2.5,4.5,9.5,14.5,17.5,22.5,5916.799999994659,270282.711111149,574637.3809524032,714043.7131578767,667636.2499999877,630125.1678160738,69060.4,68931.4,68527.33333333333,68260.85,68300.4,68235.06666666667,76.92073842595805,519.887209989964,758.0484027767641,845.0110728019348,817.0901113096326,793.8042377161221,2.2360679775148067,-1.3191894747617432,-0.44028270178265433,-0.12916622803406402,-0.13716472334656465,0.0035849629643261768,4.999999997231072,0.7670924393301795,-1.072443835764654,-1.13296637518409,-1.1170878978378502,-1.131955984565051
38,69026.0,69112.0,68166.0,68424.0,542069,2023-04-13,946.0,602.0,69026.0,69026.0,69026.0,68037.0,68080.0,68037.0,1.0,2.0,7.0,12.0,16.0,20.0,88751.99999999472,199198.93333337182,410292.1428571717,713411.8394736664,626728.9166666529,621426.3172413604,68940.0,68974.4,68619.0,68278.05,68266.0,68223.6,297.91273890183805,446.31707712496484,640.5405083655301,844.6371051958743,791.6621227939688,788.3059794530043,-1.8643602442586267,-1.3647947150998057,-0.21590390644772522,-0.1962314905503441,-0.09571486783311106,0.039511798239715595,3.9791666666346353,1.896190149420901,-1.6220964097880743,-1.1124235723418514,-0.9690534049734121,-1.0774252135822984
39,68682.0,68854.0,68166.0,68424.0,399536,2023-04-14,688.0,258.0,69026.0,69026.0,69026.0,68252.0,68080.0,68080.0,1.5,1.5,6.5,11.5,15.5,19.5,108721.1999999944,124006.26666670562,330143.35238098487,706625.0815789301,627540.7566666531,602666.4379310181,68785.2,69017.4,68676.26666666666,68303.85,68269.44,68255.1,329.7289796181015,352.14523518955303,574.5810233387323,840.609946157509,792.1747008499154,776.3159395059579,-0.6085806194502137,-0.7722222721311967,-0.13983617480739646,-0.2961108552396216,-0.1093641940301457,-0.05589114467770087,-3.3333333333086457,0.3571753235077243,-1.7133737726541198,-1.0310832460542148,-0.9731971868054032,-0.9719965955829528
40,68424.0,68510.0,67908.0,68424.0,450882,2023-04-17,602.0,0.0,68424.0,69026.0,69026.0,68424.0,68080.0,68209.0,2.0,2.0,6.0,11.0,15.0,19.0,108721.1999999944,118664.71111114985,300559.3523809868,565065.4315789322,619590.3433333213,565112.0965517105,68664.8,68905.6,68704.93333333333,68389.8,68293.52,68295.2,329.7289796181015,344.47744644773167,548.2329362424213,751.7083420974735,787.1406121737851,751.7393807375735,0.608580619450021,-0.760889924682734,-0.19133998920338216,-0.23402404701012652,-0.20260257577380802,-0.13659023721403857,-3.333333333366839,-1.2804632407581578,-1.5192860609060512,-1.0711041844674516,-0.8935531032261782,-0.7865172214056871
41,68424.0,68768.0,68080.0,68252.0,302472,2023-04-18,688.0,172.0,68424.0,69026.0,69026.0,68424.0,68252.0,68295.0,1.0,1.0,4.0,9.0,13.0,15.0,88751.99999999473,146687.33333337452,287176.1142857492,479911.818421039,601858.83999999,554087.48965516,68510.0,68811.0,68716.4,68445.65,68317.56,68312.4,297.91273890183805,382.9978241888256,535.8881546421317,692.7566805315117,775.7956174147866,744.3705325005551,1.8643602442595681,-0.35851619956483516,-0.198005900842964,-0.22127861243688512,-0.28697978720806816,-0.19931581353368255,3.9791666667680587,-1.8443612739204052,-1.4334772641425781,-0.8604495322081068,-0.7333396886782085,-0.6803021159124881
42,68596.0,68596.0,68166.0,68166.0,420463,2023-04-19,430.0,430.0,68424.0,68725.0,69026.0,68424.0,68166.0,68209.0,1.0,1.0,3.0,8.0,13.0,15.0,14791.999999994732,154165.5111111574,261818.40000003664,433606.21052630263,568741.9599999874,554769.9540229756,68338.0,68699.2,68733.6,68480.0,68276.28,68306.66666666667,121.62236636406452,392.63916145891176,511.6819324541728,658.4878210918579,754.1498259629763,744.8288085345355,-0.8838834764607091,-0.09141843151017993,-0.12142965038701084,-0.25118480636896473,-0.20616346971213353,-0.174487663893629,-1.7499999959757595,-2.0843297220916983,-1.4853053678105572,-0.5485599967762044,-0.5877425064644666,-0.6933777419771076
43,68596.0,68596.0,68080.0,68252.0,365619,2023-04-20,516.0,344.0,68252.0,68424.0,69026.0,68424.0,68252.0,68209.0,2.5,2.5,3.5,8.5,13.5,16.5,13312.799999994826,157863.51111116228,238996.45714289445,324756.8710526186,567111.9733333212,520711.58160917956,68303.6,68621.8,68750.8,68540.15,68283.16,68272.26666666666,115.38110763896672,397.3204136602627,488.8726389796165,569.8744344613282,753.0683722832351,721.6034794879938,0.16563466499735433,0.37723819375236495,-0.05448661007105272,0.18146836211884135,-0.23604457090039369,-0.13034004119541487,-2.4074074114841095,-1.926832343543523,-1.5016576670774089,-1.2647502086599642,-0.5621628412413447,-0.5242556618238459
