,Open,High,Low,Close,Volume,TradingDate
0,77549.0,77712.0,77059.0,77222.0,1906800,2021-08-16
1,76814.0,77222.0,76324.0,76569.0,2801700,2021-08-17
2,76569.0,77467.0,76569.0,76733.0,1951000,2021-08-18
3,77549.0,77549.0,76569.0,77141.0,2721600,2021-08-19
4,77141.0,77304.0,74365.0,75753.0,4349300,2021-08-20
5,75508.0,75508.0,74284.0,74284.0,3436600,2021-08-23
6,74692.0,75100.0,73386.0,75018.0,3081500,2021-08-24
7,75426.0,75426.0,74284.0,75018.0,1344000,2021-08-25
8,75100.0,75835.0,74447.0,74610.0,1758700,2021-08-26
9,74284.0,75100.0,73957.0,75100.0,1896200,2021-08-27
10,75916.0,75916.0,75182.0,75263.0,1494800,2021-08-30
11,75345.0,76079.0,75100.0,75426.0,1952500,2021-08-31
12,75182.0,75916.0,75182.0,75426.0,1353300,2021-09-01
13,75426.0,77467.0,75345.0,77467.0,3124600,2021-09-06
14,77794.0,77794.0,76324.0,76324.0,2290600,2021-09-07
15,76324.0,76896.0,75753.0,75998.0,1453800,2021-09-08
16,75998.0,76651.0,75753.0,76079.0,1393700,2021-09-09
17,76243.0,77059.0,76243.0,76324.0,1440100,2021-09-10
18,76406.0,76733.0,75835.0,75916.0,1600000,2021-09-13
19,76161.0,77304.0,75916.0,76569.0,2523200,2021-09-14
20,76569.0,77059.0,76161.0,76814.0,1690100,2021-09-15
21,77059.0,77549.0,76896.0,77304.0,1924700,2021-09-16
22,77957.0,79181.0,77875.0,78120.0,3325700,2021-09-17
23,78365.0,78528.0,76814.0,77059.0,2526100,2021-09-20
24,76243.0,76733.0,75508.0,76324.0,2697100,2021-09-21
25,76079.0,76243.0,75671.0,76079.0,2027200,2021-09-22
26,76079.0,76569.0,75916.0,75998.0,1394200,2021-09-23
27,76079.0,76079.0,75671.0,75671.0,1449000,2021-09-24
28,75835.0,76324.0,75182.0,75182.0,1546100,2021-09-27
29,74855.0,75916.0,74692.0,75916.0,1393500,2021-09-28
30,75916.0,76243.0,75345.0,76079.0,1177400,2021-09-29
31,76324.0,76651.0,75916.0,75916.0,996900,2021-09-30
32,75835.0,75998.0,75508.0,75835.0,1055400,2021-10-01
33,75916.0,77712.0,75426.0,77222.0,2277800,2021-10-04
34,77549.0,78365.0,77059.0,77059.0,1392800,2021-10-05
35,77141.0,77304.0,76488.0,77059.0,1571300,2021-10-06
36,77467.0,77549.0,76814.0,76977.0,1497000,2021-10-07
37,77549.0,81222.0,77059.0,80732.0,8305600,2021-10-08
38,80814.0,81059.0,80243.0,80977.0,2295500,2021-10-11
39,80977.0,80977.0,80406.0,80814.0,1125300,2021-10-12
40,80814.0,82855.0,80406.0,81141.0,3232500,2021-10-13
41,81141.0,81630.0,80324.0,80651.0,1824200,2021-10-14
42,81141.0,81712.0,80324.0,80732.0,1702500,2021-10-15
43,80814.0,81630.0,80488.0,80814.0,2264100,2021-10-18
44,80814.0,81222.0,80488.0,80488.0,1534300,2021-10-19
45,80569.0,81222.0,78855.0,79671.0,2248600,2021-10-20
46,80324.0,80406.0,78937.0,78937.0,2283600,2021-10-21
47,79181.0,79508.0,78447.0,78528.0,2023400,2021-10-22
48,78528.0,78528.0,77467.0,77467.0,2938500,2021-10-25
49,77549.0,79100.0,76977.0,79100.0,1855700,2021-10-26
50,79018.0,80161.0,78773.0,80161.0,2326700,2021-10-27
51,80161.0,80324.0,79345.0,79998.0,1644700,2021-10-28
52,79998.0,79998.0,79100.0,79100.0,2382700,2021-10-29
53,79508.0,79508.0,78039.0,78202.0,2855800,2021-11-01
54,77957.0,79181.0,77957.0,78447.0,2109100,2021-11-02
55,78528.0,78937.0,77712.0,78447.0,2680100,2021-11-03
56,78447.0,79018.0,78120.0,78365.0,1761300,2021-11-04
57,78528.0,79834.0,78365.0,79671.0,2169900,2021-11-05
58,79671.0,80406.0,79426.0,79508.0,1687900,2021-11-08
59,79590.0,79671.0,78365.0,78692.0,1845900,2021-11-09
60,78692.0,79181.0,78283.0,79181.0,1592400,2021-11-10
61,79181.0,79998.0,78202.0,78365.0,2122200,2021-11-11
62,78528.0,80161.0,78283.0,79998.0,2240300,2021-11-12
63,80406.0,80406.0,79426.0,79426.0,1908900,2021-11-15
64,79426.0,81222.0,79018.0,80243.0,3506200,2021-11-16
65,80243.0,80324.0,79998.0,80243.0,1186200,2021-11-17
66,80243.0,80569.0,78773.0,78773.0,2005000,2021-11-18
67,79590.0,79834.0,77630.0,77794.0,2481300,2021-11-19
68,77957.0,78365.0,77549.0,77549.0,1670100,2021-11-22
69,77549.0,78855.0,77467.0,78855.0,1150800,2021-11-23
70,78937.0,80324.0,78692.0,79916.0,2445600,2021-11-24
71,80406.0,83100.0,80243.0,81630.0,5487400,2021-11-25
72,81712.0,82283.0,80651.0,80732.0,1996200,2021-11-26
73,79590.0,80732.0,79590.0,80079.0,1993000,2021-11-29
74,80079.0,80406.0,79181.0,79263.0,2563100,2021-11-30
75,79590.0,80488.0,78937.0,80161.0,1254900,2021-12-01
76,79671.0,80243.0,79345.0,79345.0,952900,2021-12-02
77,79834.0,79834.0,77957.0,77957.0,2009700,2021-12-03
78,77957.0,78773.0,76896.0,77141.0,2393800,2021-12-06
79,77549.0,78365.0,77141.0,78365.0,1451000,2021-12-07
80,78773.0,78773.0,77549.0,78039.0,1064800,2021-12-08
81,77630.0,79181.0,77630.0,79181.0,993100,2021-12-09
82,78692.0,79181.0,77875.0,78202.0,1160000,2021-12-10
83,78773.0,78773.0,78039.0,78365.0,900200,2021-12-13
84,78365.0,78692.0,77875.0,78120.0,1144500,2021-12-14
85,78120.0,78610.0,78039.0,78283.0,808400,2021-12-15
86,79590.0,79590.0,77957.0,77957.0,1245000,2021-12-16
87,78039.0,79181.0,77957.0,78692.0,1152100,2021-12-17
88,78773.0,78773.0,77957.0,78202.0,1019800,2021-12-20
89,78120.0,78283.0,77630.0,77712.0,1112300,2021-12-21
90,77549.0,77875.0,77222.0,77549.0,1670500,2021-12-22
91,77549.0,77549.0,75916.0,76079.0,1930300,2021-12-23
92,76324.0,77141.0,75753.0,76569.0,1186700,2021-12-24
93,76896.0,77549.0,76161.0,77141.0,793700,2021-12-27
94,77141.0,77467.0,76814.0,77141.0,567300,2021-12-28
