,Open,High,Low,Close,Volume,TradingDate
0,15583.0,16217.0,15546.0,16031.0,4347610,2020-01-02
1,16180.0,16292.0,15844.0,15882.0,3626640,2020-01-03
2,15807.0,16180.0,15733.0,15919.0,3173480,2020-01-06
3,16105.0,16292.0,15994.0,16180.0,4163600,2020-01-07
4,16068.0,16515.0,15882.0,16143.0,9864300,2020-01-08
5,16292.0,16851.0,16292.0,16739.0,8592300,2020-01-09
6,16776.0,17895.0,16776.0,17559.0,14701830,2020-01-10
7,17373.0,17895.0,17298.0,17298.0,5317470,2020-01-13
8,17336.0,17746.0,17298.0,17522.0,7040780,2020-01-14
9,17522.0,17671.0,17336.0,17597.0,4364850,2020-01-15
10,17671.0,18603.0,17634.0,18566.0,8002680,2020-01-16
11,18790.0,18939.0,18342.0,18603.0,6412750,2020-01-17
12,18566.0,18864.0,18454.0,18715.0,4737420,2020-01-20
13,18790.0,19237.0,18715.0,18864.0,6063350,2020-01-21
14,18864.0,19200.0,18678.0,19088.0,4747210,2020-01-22
15,18603.0,18901.0,17895.0,18156.0,11319200,2020-01-30
16,18342.0,18827.0,18193.0,18193.0,11815850,2020-01-31
17,17522.0,18790.0,17336.0,18752.0,13869450,2020-02-03
18,18939.0,20057.0,18901.0,20057.0,14852770,2020-02-04
19,20430.0,20728.0,19796.0,19796.0,11732260,2020-02-05
20,19908.0,20952.0,19647.0,20691.0,10566600,2020-02-06
21,20505.0,20616.0,19871.0,20057.0,8960350,2020-02-07
22,19572.0,20355.0,19535.0,19833.0,6287560,2020-02-10
23,20057.0,20691.0,20020.0,20691.0,6762320,2020-02-11
24,21213.0,21213.0,20281.0,20281.0,10390830,2020-02-12
25,20393.0,20579.0,19759.0,20318.0,9485770,2020-02-13
26,20393.0,20393.0,19908.0,19983.0,6108570,2020-02-14
27,20057.0,20169.0,19684.0,19796.0,5818090,2020-02-17
28,19908.0,20318.0,19833.0,19908.0,7231540,2020-02-18
29,19983.0,20281.0,19983.0,20132.0,5895360,2020-02-19
30,20393.0,20654.0,19871.0,20057.0,9011120,2020-02-20
31,19983.0,20057.0,19125.0,19274.0,12049570,2020-02-21
32,18715.0,18939.0,18156.0,18193.0,12317180,2020-02-24
33,18193.0,19461.0,18156.0,19461.0,9764100,2020-02-25
34,19051.0,19535.0,18939.0,19237.0,6229210,2020-02-26
35,19200.0,19535.0,19088.0,19535.0,5524580,2020-02-27
36,19013.0,19423.0,18640.0,19200.0,7892390,2020-02-28
37,19349.0,19423.0,18939.0,19013.0,4873970,2020-03-02
38,19535.0,20094.0,19349.0,19722.0,9514110,2020-03-03
39,19610.0,19722.0,19386.0,19722.0,4587660,2020-03-04
40,19983.0,20020.0,19498.0,19498.0,5997630,2020-03-05
41,19237.0,19423.0,18976.0,19237.0,5353340,2020-03-06
42,17969.0,18417.0,17895.0,17895.0,10773760,2020-03-09
43,17895.0,18678.0,17261.0,18268.0,11071330,2020-03-10
44,18491.0,18640.0,17037.0,17298.0,8522410,2020-03-11
45,16404.0,16702.0,16105.0,16254.0,11314020,2020-03-12
46,15285.0,16702.0,15136.0,16366.0,10540670,2020-03-13
47,16366.0,16441.0,15285.0,15285.0,7506240,2020-03-16
48,14912.0,15807.0,14465.0,15658.0,7946050,2020-03-17
49,15882.0,16068.0,15621.0,15621.0,6424470,2020-03-18
50,15285.0,15360.0,14801.0,14987.0,4724410,2020-03-19
51,15211.0,15285.0,14651.0,14763.0,6426820,2020-03-20
52,14018.0,14167.0,13757.0,13757.0,6448830,2020-03-23
53,13757.0,13943.0,13160.0,13645.0,6361270,2020-03-24
