,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,AR,ME_7,ME_14,ME_21,ME_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,SMA_7,SMA_14,SMA_21,SMA_28,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,Kur_7,Kur_14,Kur_21,Kur_28
44,44,24350.0,24350.0,23958.0,23958.0,79810,2007-02-14,392.0,392.0,1.0,23958.0,24154.0,23643.0,23152.5,4.0,7.0,14.0,21.0,676349.2380950974,692016.153846069,1130058.0619047629,3323914.2169312094,24013.714285714286,24109.0,23630.190476190477,22812.928571428572,822.4045464946661,831.8750830780237,1063.0418909453958,1823.1605022408778,-0.8049523130480093,-0.46893129189874166,-0.31387928321560277,-0.7459490858724046,0.505402181414427,-0.550062210426378,-0.6174315042132013,-0.3809012271724609
47,47,26393.0,26393.0,26118.0,26118.0,289680,2007-02-27,275.0,275.0,1.0,23958.0,24448.5,23958.0,23643.0,7.0,14.0,21.0,28.0,1324896.9999998559,810426.0934065082,906568.4476190523,2217830.9880952206,24300.0,24375.64285714286,24071.619047619046,23430.10714285714,1151.0417021115506,900.2366874364253,952.1388804260922,1489.2383919625563,0.13795552471863456,-0.08485834484290163,0.2078934359055183,-0.6215577200342415,0.22883594237960808,0.4134923169189447,-0.46741977988821876,0.3547919882833314
48,48,26118.0,26118.0,24822.0,24822.0,69560,2007-02-28,1296.0,1296.0,1.0,24743.0,24448.5,23958.0,23682.5,5.0,11.0,16.0,23.0,732833.952380803,753967.4120878269,918126.8619047673,1721147.767195746,24625.428571428572,24339.214285714286,24131.47619047619,23615.285714285714,856.0572132636947,868.3129689736454,958.1893664118629,1311.925214025459,0.7158246322954924,-0.055350764398943306,0.03127281507770835,-0.3567005969738754,0.1274125531366252,0.8734934922266782,-0.5645900622804849,-0.2795372556958088
49,49,24743.0,24743.0,23958.0,24154.0,98850,2007-03-01,785.0,589.0,1.33276740237691,24743.0,24350.5,24154.0,23741.5,3.0,7.0,11.0,18.0,602796.6190474683,756386.1813185962,905600.0619047678,1382858.5542327806,24698.428571428572,24325.214285714286,24155.809523809523,23741.535714285714,776.3997804272411,869.7046517747253,951.6302127952683,1175.9500645149778,0.9837787172202427,0.00039377415277959236,-0.0454058546646049,-0.17991095742157773,0.7477155743026337,0.8412029897909129,-0.48688833310728563,-0.530508097392903
50,50,24625.0,25332.0,24625.0,25332.0,163420,2007-03-02,707.0,-707.0,-1.0,24822.0,24350.5,24350.0,23859.5,6.0,13.0,19.5,26.5,661107.6190474664,819024.0659339802,864472.4476190548,1294944.025132249,24782.571428571428,24367.285714285714,24277.380952380954,23873.39285714286,813.0852470974163,904.9994839412784,929.7701047135549,1137.9560734634044,0.5304426697307033,-0.047755548982949925,-0.19351045090024807,-0.21451535627393714,-0.7363353139467534,0.32577719668995714,-0.3595944446062598,-0.4797860122481461
51,51,25332.0,25332.0,24939.0,24939.0,125170,2007-03-05,393.0,393.0,1.0,24939.0,24645.0,24547.0,23958.0,4.0,10.5,16.0,23.0,528952.904761749,778753.5659339787,762993.5904761987,1279467.4854497078,24922.714285714286,24468.214285714286,24380.238095238095,23953.321428571428,727.2914854181568,882.4701501659864,873.4950431892552,1131.1354850103978,0.2625521490790808,-0.3515249130340359,-0.3227520414344588,-0.3693472337648214,0.0820581931032855,0.7824676994981898,0.04434019187621414,-0.34288662451269586
52,52,23761.0,23761.0,23722.0,23722.0,200880,2007-03-06,39.0,39.0,1.0,24939.0,24448.5,24547.0,23958.0,1.0,3.5,4.5,11.5,612800.333333178,817369.9120878256,654342.0285714371,1070557.402116373,24889.0,24409.285714285714,24425.14285714286,24029.071428571428,782.8156445378298,904.0851243593302,808.914104569476,1034.677438681434,-0.013729315804882963,-0.1489524961678506,-0.19178933594642353,-0.25128527251339516,0.1552475069232237,0.31917539624838426,0.34189669596140004,-0.23930158455374181
53,53,24547.0,24547.0,23958.0,23958.0,43980,2007-03-07,589.0,589.0,1.0,24822.0,24056.0,24547.0,23958.0,2.0,6.0,7.0,14.0,714052.2380950857,806163.8736262881,643106.4619047706,852242.2751322442,24720.714285714286,24339.214285714286,24434.52380952381,24111.85714285714,845.0161170623231,897.8662893918494,801.9391884081801,923.1696892404149,0.5205373204642277,0.09185186969492695,-0.21515983846866563,0.04696768085776286,-0.4664228154371223,0.40951656086179333,0.4648196028761076,-0.5881658142255093
54,54,23761.0,23761.0,22976.0,23565.0,85390,2007-03-08,785.0,196.0,4.005102040816326,24154.0,24056.0,24350.0,23958.0,1.0,2.0,3.0,6.5,456077.66666652105,822832.6153845302,663690.2904761985,788607.989417958,24356.0,24328.0,24369.095238095237,24142.714285714286,675.3352254003348,907.1012156228929,814.6718913011536,888.036029346759,0.309103139876726,0.10482011004013633,-0.01864336010627322,0.09109081161096035,-1.6984579039509193,0.28337231397759843,0.2402311538747542,-0.43387223855962753
55,55,24350.0,24350.0,23565.0,23565.0,56050,2007-03-09,785.0,785.0,1.0,23958.0,24056.0,24154.0,23958.0,1.5,1.5,3.5,6.5,486544.95238081017,617067.4560438697,642225.4476190546,788607.989417958,24176.428571428572,24400.928571428572,24284.95238095238,24142.714285714286,697.5277430904166,785.5364129331432,801.3896977245556,888.036029346759,0.9798006702903722,0.8044307503842332,0.17821422572730092,0.09109081161096035,-0.5786066448024471,-0.1438207660949374,0.4246550323571693,-0.43387223855962753
56,56,23958.0,23958.0,23565.0,23958.0,87310,2007-03-12,393.0,0.0,inf,23958.0,24056.0,23958.0,23958.0,4.5,5.5,9.5,13.5,493498.28571414395,587424.5714284847,646992.9142857209,780491.7394179577,24148.428571428572,24423.428571428572,24266.285714285714,24153.964285714286,702.4943314462715,766.4362800836641,804.3586975259987,883.4544353943545,1.1196661973151034,0.8327697965130216,0.24947109326413888,0.058225829021593976,-0.3788305285483318,-0.00623842557328184,0.39267983434655307,-0.3819059339109061
57,57,24036.0,24036.0,22858.0,23958.0,74620,2007-03-13,1178.0,78.0,15.102564102564102,23958.0,23958.0,23958.0,23958.0,5.0,6.0,10.0,13.0,221119.14285700468,592846.2472526616,638914.8904761965,710055.8465608142,23952.14285714286,24367.35714285714,24228.904761904763,24196.071428571428,470.23307290853614,769.9650948274614,799.3215188371927,842.6481155030338,1.8689744295800284,1.0505006093198146,0.39450794786515686,0.07830162523004264,4.108146752357676,0.30326050750532013,0.5573716860425086,-0.12553286101556366
58,58,23761.0,23761.0,22779.0,22779.0,57450,2007-03-14,982.0,982.0,1.0,23722.0,23958.0,23958.0,23958.0,1.0,1.0,2.0,2.5,177096.28571415468,766385.9780218939,717993.7333333391,710055.8465608142,23643.571428571428,24283.14285714286,24193.333333333332,24196.071428571428,420.82809520534,875.4347365862825,847.3451087563668,842.6481155030338,-1.7328722103261232,0.5256930023063787,0.22512106125981576,0.07830162523004264,3.3516525608506256,0.14662570059029395,0.28997952483337897,-0.12553286101556366
60,60,21640.0,22701.0,21640.0,22701.0,102100,2007-03-16,1061.0,-1061.0,-1.0,23565.0,23958.0,23958.0,23958.0,2.0,2.0,3.0,3.0,711266.285714165,1308128.5549449758,1058241.0333333362,947043.2949735142,23166.571428571428,23943.64285714286,23948.333333333332,24117.535714285714,843.3660449141671,1143.7344774662413,1028.7084296987832,973.1614948062394,-1.0108653391206361,-0.07280170481014536,-0.10587034570579831,-0.4285074901612675,0.4441362381333754,0.45547130507099115,0.49547540406354806,0.4968230590076879
61,61,23565.0,23565.0,22701.0,22701.0,105730,2007-03-19,864.0,864.0,1.0,22779.0,23840.0,23958.0,23958.0,2.5,2.5,3.5,3.5,703161.142857025,999077.8021977257,1130989.7142857166,989742.9140211348,23043.14285714286,23699.571428571428,23899.714285714286,24037.60714285714,838.5470427215309,999.5387947437187,1063.4800018268875,994.8582381531224,-0.4699366622262868,-0.33241904572166164,-0.03275540567339153,-0.2785269370336274,-0.31869270494730556,0.058495485535399724,0.10032605993478483,0.1872264644842422
62,62,22387.0,22387.0,21994.0,22072.0,100430,2007-03-20,393.0,315.0,1.2476190476190476,22701.0,23643.5,23958.0,23958.0,2.0,2.0,2.0,2.0,761885.8095236965,1064382.7472526734,1205588.1904761926,1056728.1521163748,22829.85714285714,23503.14285714286,23877.238095238095,23921.178571428572,872.8607045363518,1031.6892687494008,1097.9928007396918,1027.9728362735927,0.26222112791090474,-0.09516441605535814,-0.11274722862579212,-0.24340373819280986,-0.9185043985294457,-0.26588257651610375,0.014423005248289489,0.029111701425894913
63,63,20973.0,21051.0,20973.0,21012.0,113940,2007-03-21,78.0,-39.0,-2.0,22701.0,23565.0,23958.0,23958.0,1.0,1.0,1.0,1.0,893894.6666665617,1454922.9890109177,1596842.947619048,1348635.3690475943,22409.0,23278.714285714286,23751.95238095238,23801.964285714286,945.4600291215709,1206.2018856770692,1263.6625133393204,1161.307611723782,0.16501554082578523,-0.2049041490420772,-0.3879414189782979,-0.46500001509998756,0.4179699761498483,-0.25192587323264587,0.01678722889647422,0.23960108092104257
64,64,21208.0,21994.0,21208.0,21797.0,139830,2007-03-22,786.0,-589.0,-1.33446519524618,22072.0,23172.0,23958.0,23840.0,3.0,3.0,3.0,3.0,445229.90476180543,1230838.9505493813,1718162.0333333318,1453241.7499999779,22100.285714285714,23026.214285714286,23611.666666666668,23696.75,667.2555018595242,1109.4318142857546,1310.786799343559,1205.5047697956147,-0.5247911819556275,-0.23465611402068684,-0.198515941704818,-0.33546138753019306,-0.8594917799783822,-0.6629569537302853,-0.34828236639049936,-0.11677925162702754
66,66,21208.0,21208.0,20816.0,21208.0,107630,2007-03-26,392.0,0.0,inf,21797.0,22701.0,23565.0,23722.0,2.0,2.0,2.0,2.0,433565.2380951421,1106914.3351647712,2102275.161904759,1754483.8981481302,21898.285714285714,22622.214285714286,23377.809523809523,23515.75,658.4567093554003,1052.0999644353055,1449.9224675494752,1324.5693255349568,0.010237375675822032,-0.031610819270226694,0.03136698206665366,-0.20126761652240444,-1.2403487478242923,-1.463328887316747,-0.9093321478516707,-0.639801518743944
67,67,20226.0,20226.0,20148.0,20148.0,62970,2007-03-27,78.0,78.0,1.0,21797.0,22386.5,23565.0,23682.5,1.0,1.0,1.0,1.0,681570.9523808617,1360802.686813127,2410058.514285709,2069162.608465594,21533.571428571428,22350.071428571428,23140.285714285714,23344.64285714286,825.5731054127561,1166.534477335808,1552.4363156940476,1438.4584138811917,-0.4365294699172993,-0.18175817319837267,-0.04089936074541527,-0.32145273272490676,0.3482551907776532,-0.7574005545518137,-0.5976726244518394,-0.3435306813301867
