,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,ME_7,ME_14,ME_21,ME_28,SMA_7,SMA_14,SMA_21,SMA_28,GM,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,Kur_7,Kur_14,Kur_21,Kur_28,AR
217,217,32722.0,34543.0,32422.0,33331.0,700930,2009-11-04,2121.0,-609.0,36058.0,36815.5,37270.0,37118.5,35149.0,36859.142857142855,37054.0,37054.0,36529.03571428571,1504.866107000881,2232.0725056166257,1856.2127572021523,1669.8950066795653,-0.6171007837408985,-0.20697938632805662,-0.5181402141705208,-0.500184500188868,2.0,2.0,2.0,2.0,2264621.999999987,4982147.670329682,3445525.8000000166,2788549.333333345,-1.7522279037170776,-0.5721168855277509,0.4886599074153776,0.8705220537943548,-3.4827586206896552
218,218,33328.0,34543.0,33028.0,34240.0,811420,2009-11-05,1515.0,-912.0,34543.0,36512.5,37270.0,37118.5,34846.0,36642.71428571428,36938.57142857143,36967.42857142857,36348.67857142857,1431.9221347545358,2333.7531155620604,1954.4463812401912,1751.6920799207712,-0.013264708597747579,0.017152355187607375,-0.41231068849699004,-0.4384468428383846,3.0,3.0,3.0,3.0,2050400.999999987,5446403.604395624,3819860.657142879,3068425.1428571576,-1.8951659610914668,-0.9851558007672206,-0.11360798653038207,0.3223350161047074,-1.6611842105263157
219,219,35905.0,35905.0,35678.0,35905.0,1298610,2009-11-06,227.0,0.0,34543.0,36209.5,37270.0,36815.5,34737.57142857143,36480.21428571428,36902.42857142857,36875.357142857145,36248.892857142855,1293.346158502925,2297.398769129041,1966.7569898548425,1736.7692060640334,-0.18489610801153133,0.23612742215962185,-0.35154579994999624,-0.3140419820181877,5.0,5.0,5.0,6.0,1672744.285714273,5278041.104395632,3868133.0571428807,3016367.275132293,-1.9883142210609592,-0.7799922167493875,-0.2270143581728587,0.3320213492114985,inf
220,220,34769.0,35223.0,34314.0,34314.0,361050,2009-11-09,909.0,455.0,34314.0,36058.0,36967.0,36664.0,34488.42857142857,36074.21428571428,36761.666666666664,36737.28571428572,36015.39880952381,1157.428306943576,2123.5764164972593,2043.4214282260436,1782.2851510878895,0.30449672821464324,0.47371165064500725,-0.1973004307882748,-0.17381871637399002,4.0,4.0,4.0,4.0,1339640.2857142726,4509576.7967033405,4175571.133333364,3176540.3597883815,-1.1239254429736043,-0.2941178921017111,-0.6235904050284572,0.04518603852701185,1.9978021978021978
221,221,33860.0,34087.0,32724.0,32724.0,663480,2009-11-10,1363.0,1136.0,34240.0,35981.5,36664.0,36664.0,34012.142857142855,35554.642857142855,36487.42857142857,36564.07142857143,35654.57142857143,1087.77746323584,1974.3154064576133,2182.565567661806,1927.7012971426138,0.646135160856517,0.3904729090550597,-0.11998545779483817,-0.20944148958184344,1.0,1.0,1.0,1.0,1183259.8095237992,3897921.324175891,4763592.457142903,3716032.2910053157,0.21101101409415363,-0.09701608905444355,-0.7289671942772924,-0.15337754340916177,1.1998239436619718
222,222,32724.0,33405.0,32042.0,33405.0,689800,2009-11-11,1363.0,-681.0,33405.0,35224.0,36361.0,36664.0,33849.57142857143,35105.357142857145,36288.90476190476,36458.5,35425.583333333336,1080.228811740493,1648.4346237540915,2266.770078873515,2018.060097111972,1.2283101383337895,0.029200820474770912,0.03902437077501049,-0.16633823114334303,4.0,4.0,4.0,4.0,1166894.2857142773,2717336.708791293,5138246.590476243,4072566.5555555816,1.4855262851180655,-1.3287978233167002,-0.9377205065872521,-0.47409600121108236,-2.001468428781204
223,223,32951.0,34314.0,32951.0,33178.0,789130,2009-11-12,1363.0,-227.0,33405.0,34428.5,36058.0,36664.0,33871.0,34769.71428571428,36079.57142857143,36344.82142857143,35266.27678571428,1062.558233698272,1513.5514236681915,2343.83191742559,2111.2540779702613,1.25484918207248,0.09117905164779741,0.1939434830312467,-0.12076314723111294,2.0,3.0,3.0,3.0,1129029.9999999916,2290837.9120880095,5493548.057142916,4457393.781746059,1.6534997514914536,-1.7239612186875806,-1.03608443884482,-0.733869697340113,-6.004405286343612
224,224,32042.0,33178.0,32042.0,32724.0,458110,2009-11-13,1136.0,-682.0,33405.0,34277.0,36058.0,36664.0,33784.28571428572,34466.642857142855,35834.19047619047,36236.57142857143,35080.42261904762,1136.1890561999635,1463.7108587498037,2414.908106306496,2217.639593143889,1.1326196033537306,0.2880659563486822,0.3444055230294895,-0.1192271310300326,1.5,1.5,1.5,1.5,1290925.5714285637,2142449.478022088,5831781.161904827,4917925.365079394,1.0497101951366843,-1.662146879085417,-0.996270968440608,-0.9197983331783647,-1.6656891495601174
225,225,32951.0,33633.0,32269.0,32269.0,630460,2009-11-16,1364.0,682.0,33178.0,33822.5,35905.0,36512.5,33502.71428571428,34174.357142857145,35596.04761904762,36079.607142857145,34838.181547619046,1243.5829571960874,1464.8931495370448,2510.91322980686,2338.5105633205794,1.400115242450123,0.4986079328090798,0.45333482714014567,-0.07952523838782209,1.0,1.0,1.0,1.0,1546498.5714285655,2145911.939560563,6304685.247619117,5468631.654761934,1.7806427480281855,-1.2316096581869307,-0.9545660567045319,-1.0626472717889395,2.0
226,226,32269.0,32951.0,32042.0,32496.0,504640,2009-11-17,909.0,-227.0,32724.0,33368.0,34543.0,36209.5,33015.71428571428,33876.642857142855,35325.380952380954,35930.75,34537.12202380952,690.5680546443166,1338.0394157206715,2524.764552907681,2430.76990737351,1.1656772311909545,0.6916617054051653,0.6412704290110509,-0.0010649997492652738,2.0,2.0,2.0,2.0,476884.23809523584,1790349.4780221158,6374436.047619121,5908642.342592621,1.295853403821269,-0.8934838266023543,-0.6879802474837347,-1.202749104323761,-4.004405286343612
